225,143,22.5,14.3
218,145,21.8,14.5
211,147,21.1,14.7
191,149,19.1,14.9
202,149,20.2,14.9
205,142,20.5,14.2
205,137,20.5,13.7
205,134,20.5,13.4
206,132,20.6,13.2
207,131,20.7,13.1
201,133,20.1,13.3
169,135,16.9,13.5
59,159,5.9,15.9
13,157,1.3,15.7
18,173,1.8,17.3
21,174,2.1,17.4
27,185,2.7,18.5
29,186,2.9,18.6
29,187,2.9,18.7
32,188,3.2,18.8
35,189,3.5,18.9
36,189,3.6,18.9
40,190,4.0,19.0
39,204,3.9,20.4
40,204,4.0,20.4
43,208,4.3,20.8
45,207,4.5,20.7
46,208,4.6,20.8
46,207,4.6,20.7
46,206,4.6,20.6
46,207,4.6,20.7
46,207,4.6,20.7
46,208,4.6,20.8
46,208,4.6,20.8
46,207,4.6,20.7
47,208,4.7,20.8
48,208,4.8,20.8
48,208,4.8,20.8
48,207,4.8,20.7
48,206,4.8,20.6
49,207,4.9,20.7
54,208,5.4,20.8
57,208,5.7,20.8
59,208,5.9,20.8
59,194,5.9,19.4
61,194,6.1,19.4
62,194,6.2,19.4
62,194,6.2,19.4
63,194,6.3,19.4
64,194,6.4,19.4
65,195,6.5,19.5
66,195,6.6,19.5
68,195,6.8,19.5
69,194,6.9,19.4
73,191,7.3,19.1
74,190,7.4,19.0
73,195,7.3,19.5
78,190,7.8,19.0
80,189,8.0,18.9
82,189,8.2,18.9
83,189,8.3,18.9
85,189,8.5,18.9
85,178,8.5,17.8
85,178,8.5,17.8
85,178,8.5,17.8
86,177,8.6,17.7
86,177,8.6,17.7
87,177,8.7,17.7
88,177,8.8,17.7
89,165,8.9,16.5
89,165,8.9,16.5
89,165,8.9,16.5
90,165,9.0,16.5
91,165,9.1,16.5
92,165,9.2,16.5
92,165,9.2,16.5
94,165,9.4,16.5
95,166,9.5,16.6
96,166,9.6,16.6
98,166,9.8,16.6
102,166,10.2,16.6
103,166,10.3,16.6
107,166,10.7,16.6
110,166,11.0,16.6
113,166,11.3,16.6
116,166,11.6,16.6
117,165,11.7,16.5
117,165,11.7,16.5
119,165,11.9,16.5
119,164,11.9,16.4
119,164,11.9,16.4
119,165,11.9,16.5
120,164,12.0,16.4
121,164,12.1,16.4
122,164,12.2,16.4
124,164,12.4,16.4
